Season,Round,Team A,Team B,Team A SRS,Team B SRS,Team A ORtg,Team B ORtg,Team A DRtg,Team B DRtg,Winner,Team A Age,Team B Age,Team A W,Team B W,Team A L,Team B L,Team A PW,Team B PW,Team A PL,Team B PL,Team A MOV,Team B MOV,Team A SOS,Team B SOS,Team A NRtg,Team B NRtg,Team A Pace,Team B Pace,Team A FTr,Team B FTr,Team A 3PAr,Team B 3PAr,Team A TS%,Team B TS%
2013,First Round,Oklahoma City Thunder,Houston Rockets,9.15,3.69,112.4,109.7,102.6,106.1,Oklahoma City Thunder,26.0,24.4,60,45,22,37,64,50,18,32,9.21,3.48,-0.06,0.22,9.8,3.6,93.3,96.1,0.338,0.308,0.244,0.349,0.58,0.564
2013,First Round,San Antonio Spurs,Los Angeles Lakers,6.67,1.48,108.3,107.8,101.6,106.6,San Antonio Spurs,28.6,30.7,58,45,24,37,58,44,24,38,6.4,1.16,0.27,0.32,6.7,1.2,94.2,94.4,0.258,0.345,0.264,0.303,0.568,0.548
2013,Conference Semifinals,Indiana Pacers,New York Knicks,3.34,3.73,104.3,111.1,99.8,106.3,Indiana Pacers,25.7,30.2,49,54,32,28,52,53,29,29,4.02,4.23,-0.69,-0.5,4.5,4.8,90.2,89.8,0.293,0.258,0.245,0.354,0.521,0.55
2013,Conference Semifinals,Miami Heat,Chicago Bulls,7.03,-0.02,112.3,103.5,103.7,103.2,Miami Heat,30.3,28.0,66,45,16,37,62,42,20,40,7.87,0.32,-0.84,-0.33,8.6,0.3,90.7,89.3,0.297,0.259,0.285,0.189,0.588,0.512
2013,Conference Semifinals,Memphis Grizzlies,Oklahoma City Thunder,4.32,9.15,104.9,112.4,100.3,102.6,Memphis Grizzlies,27.0,26.0,56,60,26,22,54,64,28,18,4.15,9.21,0.18,-0.06,4.6,9.8,88.4,93.3,0.261,0.338,0.166,0.244,0.514,0.58
2013,Conference Semifinals,San Antonio Spurs,Golden State Warriors,6.67,1.32,108.3,106.4,101.6,105.5,San Antonio Spurs,28.6,25.3,58,47,24,35,58,44,24,38,6.4,0.89,0.27,0.42,6.7,0.9,94.2,94.5,0.258,0.255,0.264,0.239,0.568,0.545
2013,Conference Finals,Miami Heat,Indiana Pacers,7.03,3.34,112.3,104.3,103.7,99.8,Miami Heat,30.3,25.7,66,49,16,32,62,52,20,29,7.87,4.02,-0.84,-0.69,8.6,4.5,90.7,90.2,0.297,0.293,0.285,0.245,0.588,0.521
2013,Conference Finals,San Antonio Spurs,Memphis Grizzlies,6.67,4.32,108.3,104.9,101.6,100.3,San Antonio Spurs,28.6,27.0,58,56,24,26,58,54,24,28,6.4,4.15,0.27,0.18,6.7,4.6,94.2,88.4,0.258,0.261,0.264,0.166,0.568,0.514
2013,NBA Finals,Miami Heat,San Antonio Spurs,7.03,6.67,112.3,108.3,103.7,101.6,Miami Heat,30.3,28.6,66,58,16,24,62,58,20,24,7.87,6.4,-0.84,0.27,8.6,6.7,90.7,94.2,0.297,0.258,0.285,0.264,0.588,0.568
2014,First Round,Brooklyn Nets,Toronto Raptors,-1.58,2.55,106.7,108.8,107.7,105.3,Brooklyn Nets,30.0,25.6,44,48,38,34,38,50,44,32,-1.0,3.24,-0.58,-0.69,-1.0,3.5,91.4,91.8,0.313,0.306,0.301,0.285,0.555,0.545
